product_id,product_name
1,Nuggets
2,Carrot
3,Potato
4,Salad
5,Fries
6,Chicken Wings
7,Soup
8,Steak
9,Pizza
10,Burger
11,Pasta
12,Sushi
13,Sandwich
14,Omelette
15,Smoothie
16,Ice Cream
17,Pancakes
18,Waffle
19,Cookie
20,Brownie
21,Fish
22,Shrimp
23,Rice
24,Noodles
25,Spring Rolls
26,Tacos
27,Burrito
28,Lasagna
29,Quiche
30,Hot Dog
31,Curry
32,Samosa
33,Dumplings
34,Pie
35,Pudding
36,Crepe
37,Falafel
38,Meatballs
39,Chili
40,Pasta Salad
41,Nachos
42,Bagel
43,Wrap
44,BBQ Ribs
45,Grilled Cheese
46,Avocado Toast
47,Muffin
48,Donut
49,Cupcake
50,Cheesecake
51,Yogurt
52,Granola
53,Porridge
54,Fruit Salad
55,Chips
56,Tortilla
57,Empanada
58,Cereal
59,Toast
60,Egg Benedict
61,Biscuit
62,Frittata
63,Mozzarella Sticks
64,Gyoza
65,Tempura
66,Edamame
67,Quesadilla
68,Jambalaya
69,Gumbo
70,Pho
71,Banh Mi
